Assembly same,,,,,Assembly different,,,,,Assembly tied,,,
878.382,O53871,4b3h,mycobacterium_tuberculosis,,15.104,C6E9S5,3rko,escherichia_coli,,3.69915,O33347,3g5o,mycobacterium_tuberculosis
1253.68,O53872,4b3h,mycobacterium_tuberculosis,,11.6811,C6E9S6,3rko,escherichia_coli,,2.79591,O33348,3g5o,mycobacterium_tuberculosis
4.72071,P04993,1w36,escherichia_coli,,150.282,O32080,4j7c,bacillus_subtilis,,324.112,O34800,3o6q,bacillus_subtilis
0.836718,P08394,1w36,escherichia_coli,,24.1851,O32081,4j7c,bacillus_subtilis,,31.3644,O34853,3o6q,bacillus_subtilis
914.091,P0A6B9,3lvl,escherichia_coli,,0.383725,P30130,3bwu,escherichia_coli,,670.8,P00363,1kf6,escherichia_coli
916.007,P0ACD6,3lvl,escherichia_coli,,189.083,P9WP32,3dwg,mycobacterium_tuberculosis,,54.4071,P00898,1i1q,salmonella_typhimurium
87.5156,P76014,3pnl,escherichia_coli,,44.2699,P9WP52,3dwg,mycobacterium_tuberculosis,,27.7762,P00905,1i1q,salmonella_typhimurium
137.062,P76015,3pnl,escherichia_coli,,,,,,,912.706,P00968,1a9x,escherichia_coli
3.58107,P76082,4fzw,escherichia_coli,,,,,,,1.89405,P02916,3fh6,escherichia_coli
1.53468,P77467,4fzw,escherichia_coli,,,,,,,4.00592,P05719,2y7h,escherichia_coli
7.71745,Q6MX18,3h6p,mycobacterium_tuberculosis,,,,,,,418.611,P06533,1b0n,bacillus_subtilis
,,,,,,,,,,357.481,P07014,1nek,escherichia_coli
,,,,,,,,,,67.4098,P08957,2y7h,escherichia_coli
,,,,,,,,,,57.5774,P09152,1r27,escherichia_coli
,,,,,,,,,,1205.34,P0A6F1,1a9x,escherichia_coli
,,,,,,,,,,1603.18,P0A6T9,3a8i,escherichia_coli
,,,,,,,,,,127.022,P0A7I0,2b3t,escherichia_coli
,,,,,,,,,,13.6952,P0AAJ3,1kqf,escherichia_coli
,,,,,,,,,,66.9526,P0ABI8,1fft,escherichia_coli
,,,,,,,,,,182.426,P0ABJ1,1fft,escherichia_coli
,,,,,,,,,,46.3722,P0ABJ3,1fft,escherichia_coli
,,,,,,,,,,394.336,P0AC41,1nek,escherichia_coli
,,,,,,,,,,421.409,P0AC47,1kf6,escherichia_coli
,,,,,,,,,,134.39,P0AC55,2ns1,escherichia_coli
,,,,,,,,,,4.62417,P0ACC1,2b3t,escherichia_coli
,,,,,,,,,,290.003,P11349,1r27,escherichia_coli
,,,,,,,,,,54.4431,P23308,1b0n,bacillus_subtilis
,,,,,,,,,,0.518928,P24183,1kqf,escherichia_coli
,,,,,,,,,,428.538,P27248,3a8i,escherichia_coli
,,,,,,,,,,51.9002,P30750,3dhw,escherichia_coli
,,,,,,,,,,15.3002,P31547,3dhw,escherichia_coli
,,,,,,,,,,4.56946,P38054,3t51,escherichia_coli
,,,,,,,,,,1.41761,P68183,3fh6,escherichia_coli
,,,,,,,,,,194.722,P69681,2ns1,escherichia_coli
,,,,,,,,,,201.207,P74873,1jyo,salmonella_typhimurium
,,,,,,,,,,11.9641,P77239,3t51,escherichia_coli
