#List of all subunit/gene pairs and their relevant properties
#PDB ID,Subunit A,Subunit B,Gene A,Gene B,Species,Interface size,Assembly order (1 - A assembles first; -1 - B assembles first; 0 - A + B assemble simultaneously or in parallel),Evidence of gene fusion (1 - yes; 0 - no),Assembly pathway would be conserved upon fusion (1 - yes; 0 - no; blank - either no evidence of fusion or it's a heterodimer,Abundance of subunit A considering data from all organims,Abundance of subunit B considering data from all organisms,Abundance of subunit A considering data from E. coli only,Abundance of subunit B considering data from E. coli only,Operon ID,Position of Gene A in operon,Position of Gene B in operon,Gene order conservation for adjacent pairs (C - completely conserved; M - mostly conserved with <4 deviations across all organisms; N - not conserved; L - evolutionarily limited with <5 examples in just one phylogenetic branch)
1a0o,B,A,P07363,P0AE67,escherichia_coli,1165.0,0,1,,268.165,297.556,268.165,297.556
1a50,A,B,P00929,P0A2K1,salmonella_typhimurium,2790.9,-1,1,0,169.247,224.445,,1137.41,46554,6,5,M
1a9x,A,B,P00968,P0A6F1,escherichia_coli,4849.9,0,1,1,912.706,1205.34,912.706,1205.34,3006,2,1,N
1acm,A,B,P0A786,P0A7F3,escherichia_coli,1643.9,1,1,0,1449.75,2026.53,3595.11,2026.53,3818,1,2,M
1aip,C,A,P43895,P60338,thermus_thermophilus,2038.1,1,0,0,,,,
1aon,A,O,P0A6F5,P0A6F9,escherichia_coli,756.5,1,0,0,19253.6,10275.1,10660.6,7208.12,3803,2,1,C
1b0n,A,B,P06533,P23308,bacillus_subtilis,3277.8,0,0,,418.611,54.4431,,,1171631,1,2,L
1b70,A,B,P27001,P27002,thermus_thermophilus,8406.6,0,0,1,,,,
1bxi,B,A,P09883,P13479,escherichia_coli,1583.3,0,0,,,,,
1cqi,B,A,P0A836,P0AGE9,escherichia_coli,3639.3,0,1,1,2085.99,1950.06,2211.55,1950.06,3146,1,2,M
1dii,C,A,P09787,P09788,pseudomonas_putida,2022.9,-1,0,0,,,,
1dio,A,B,Q59470,Q59471,klebsiella_oxytoca,3161.8,1,1,0,159.471,140.191,,,947065,3,4,C
1dio,A,G,Q59470,Q59472,klebsiella_oxytoca,5484.0,1,0,0,159.471,250.846,,,947065,3,5
1dio,B,G,Q59471,Q59472,klebsiella_oxytoca,371.8,-1,0,0,140.191,250.846,,,947065,4,5,C
1dj7,A,B,Q55389,Q55781,synechocystis_sp.,1609.6,0,0,,67.1948,3792.32,,
1dkg,A,D,P09372,P0A6Y8,escherichia_coli,1967.0,1,0,0,1431.48,9170.94,1431.48,8986.85
1e44,B,A,P00646,P02984,escherichia_coli,2595.4,0,0,,,,,
1e7p,A,B,P17412,P17596,wolinella_succinogenes,6062.3,0,0,1,,,,,88696,2,3,N
1e7p,A,C,P17412,P17413,wolinella_succinogenes,0.1,0,0,0,,,,,88696,2,1,C
1e7p,C,B,P17413,P17596,wolinella_succinogenes,3218.5,0,0,0,,,,,88696,1,3
